Avg. Area Income;Avg. Area House Age;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price;Address
Port Joshua;" ND 21648""";;;;;
6.154.458.347;2.92;1;18;3.069.938.605;6777;687 Leslie Mall
North Jayhaven;" LA 83023""";;;;;
8.022.859.919;5.06;3;17;2.725.525.082;1535;PSC 7102, Box 1708
"APO AA 74372-2883""";;;;;;
6.086.539.678;5.49;10;16;4.335.137.328;9900;107 Chelsea Mountains
Lopezmouth;" OR 00850""";;;;;
598.669.477;5.87;15;19;3.206.459.716;1039;179 Larsen Oval
New Matthew;" DC 48602-6064""";;;;;
6.476.964.484;4.21;20;20;4.351.094.015;1107;135 Acosta Isle
West Judith;" IN 13641""";;;;;
8.928.608.325;5.4;2;20;2.617.676.615;1340;8654 Benjamin Harbors Suite 759
South Jenniferland;" KY 77429-0386""";;;;;
8.337.301.202;6.6;13;3;2.566.322.937;1335;622 Justin Valley
Duncanside;" MI 86995-3102""";;;;;
5.927.894.589;5.94;19;11;123.517.196;1015;47608 Becky Shores Apt. 271
Fernandezshire;" AK 19986-5072""";;;;;
7.123.291.398;4.23;12;12;3.108.889.017;6769;9450 Smith Path Suite 035
Chapmanburgh;" NM 22261-2035""";;;;;
7.210.255.665;5.78;12;3;4.140.916.941;1110;24297 Perez Pine
Brendatown;" AZ 78809-0999""";;;;;
8.052.849.774;5.64;19;11;3.771.725.395;1641;8286 Jennifer Prairie
Lake Georgemouth;" OH 74433""";;;;;
5.405.102.466;5.36;3;9;2.782.249.637;9143;PSC 6223, Box 3745
"APO AA 82126""";;;;;;
6.646.536.591;5.62;2;13;4.113.009.091;1258;4440 Dennis Green Apt. 666
Barryport;" CT 36310-7179""";;;;;
700.859.476;4.43;1;12;5.144.669.185;1440;414 Todd Springs
Port Shannon;" AS 60277""";;;;;
7.547.550.719;6.2;6;1;4.744.787.629;1624;65108 Williams Crescent Apt. 503
Frankshire;" VI 46982-4576""";;;;;
8.882.450.481;7.67;16;6;2.871.569.866;1869;64639 Kristin Locks Suite 724
Derekberg;" KY 77496-9751""";;;;;
6.594.891.814;4;18;5;4.126.091.708;1302;6541 Howard Mills
Smithton;" AL 96745""";;;;;
6.821.951.472;5.67;13;16;4.234.257.799;1429;0029 Melinda Neck Apt. 591
Lake Gregoryshire;" HI 60267""";;;;;
7.488.106.436;5.26;4;15;235.264.985;1023;7578 Watson Junction Apt. 456
New Stevenstad;" UT 73434-4974""";;;;;
5.988.641.854;3.44;5;14;5.454.682.652;6735;USS Hunt
"FPO AA 46601""";;;;;;
7.529.106.396;5.38;4;12;4.822.413.914;1657;74152 Lauren Ferry
North Robertton;" AS 43153""";;;;;
6.935.079.336;6.91;3;5;3.677.905.857;1392;USNV Cortez
"FPO AE 36896-5919""";;;;;;
7.968.776.187;6.01;15;19;2.086.766.988;1360;932 Schwartz Park Suite 892
South Brian;" CT 50166""";;;;;
6.167.917.116;6.35;3;1;3.486.798.508;1103;PSC 7611, Box 8172
"APO AE 25615-0900""";;;;;;
7.752.754.117;6.46;14;11;4.181.280.155;1322;165 Hawkins Estate Suite 143
Toddport;" MN 31095""";;;;;
6.501.055.347;6.29;6;17;3.470.686.663;1305;743 William Mount Suite 503
West Kimberly;" MS 27914""";;;;;
6.050.300.376;6.56;5;12;4.915.550.948;1431;7409 William Mountains
Richardstad;" MT 38781""";;;;;
5.228.212.067;6.92;16;20;4.586.787.467;1137;03508 Shannon Vista Suite 305
Romantown;" AL 15977-0442""";;;;;
5.429.314.008;4.7;16;18;4.975.163.427;1010;79942 Timothy Estates
West Robert;" AZ 69359""";;;;;
6.491.251.546;7.18;14;11;4.868.542.066;1449;690 Susan Isle
Jonville;" DE 37992-8552""";;;;;
70.213.646;5.91;8;2;3.438.642.978;1064;8578 Michele Squares Apt. 349
East Bobbychester;" MI 75471-8887""";;;;;
4.864.010.361;3.66;6;6;3.338.123.866;6072;4600 Tara Meadow Suite 656
Fernandoport;" MP 40164-1720""";;;;;
6.453.446.591;3.88;15;17;5.293.367.258;1202;129 Webb Ports Apt. 539
Shortland;" SD 64926-8296""";;;;;
5.833.723.049;5.23;20;12;382.350.331;8168;021 Carroll Unions
Marthaborough;" KS 52821-2523""";;;;;
7.884.576.218;6.2;2;15;5.484.549.441;1598;92450 Aguilar Knolls Apt. 965
Austinburgh;" OH 57848-9395""";;;;;
746.919.496;5.49;7;9;5.540.309.347;1658;Unit 1785 Box 7504
"DPO AP 49434""";;;;;;
6.821.768.309;6.37;19;17;4.924.084.045;1312;177 Hernandez Path Apt. 695
South Laurastad;" ND 37599""";;;;;
5.530.614.197;6.12;1;20;3.214.294.735;6479;38482 Thornton Parkway
Lake Oscar;" SD 09937""";;;;;
6.901.276.984;6.98;16;12;3.306.976.158;1492;87957 Higgins Circles
Joshuahaven;" NJ 61021""";;;;;
6.084.661.849;4.07;5;4;2.817.206.528;6277;43955 Vega Stravenue Apt. 071
North Alexandraview;" MD 23855""";;;;;
9.383.809.765;4.26;3;18;4.413.800.673;1827;Unit 8824 Box 5633
"DPO AE 40792-0792""";;;;;;
7.891.886.745;4.64;6;20;367.116.233;1339;2130 Weiss Mountains Suite 020
West Jomouth;" MT 03427""";;;;;
8.389.635.797;6.54;3;1;4.367.262.855;1620;154 Erica Groves
Lake Kevinfort;" MH 40258""";;;;;
7.850.186.123;6.9;8;7;3.468.581.562;1637;024 Derrick Row Apt. 085
Christiemouth;" NE 35543""";;;;;
7.823.940.566;4.56;15;19;3.693.662.977;1216;12212 Fleming Streets
New Gregoryville;" ME 23793""";;;;;
7.022.004.443;5.96;10;7;462.224.591;1555;943 Reese Roads Apt. 389
Weavertown;" AR 10413""";;;;;
6.218.453.937;4.92;4;13;2.600.830.912;8730;62280 Taylor Drive Apt. 014
Sarahburgh;" GU 68004""";;;;;
6.820.141.249;4.19;14;5;4.346.816.446;8460;0339 Anderson Groves
South Joshua;" GA 31409""";;;;;
6.686.287.692;7.48;12;17;1.532.564.845;1028;6214 Smith Mill Suite 049
Foxland;" NV 38613""";;;;;
8.363.811.693;7.01;8;5;2.456.597.681;1569;7584 Karen Pike
Adambury;" UT 30111""";;;;;
8.114.972.595;5.48;16;18;5.492.967.024;1798;7490 Whitehead Mountain Apt. 278
Bassside;" AS 53368-2196""";;;;;
7.531.869.449;4.64;19;3;332.805.895;1402;03839 Edward Trail
Ashleyburgh;" CT 52660""";;;;;
5.084.711.311;4.97;11;4;3.476.370.381;3989;6908 King Underpass Suite 740
East Thomas;" MP 29298""";;;;;
7.009.032.109;5.36;4;18;2.639.081.105;9331;4626 Jones Shoals Apt. 257
North Kennethchester;" PA 67461-9661""";;;;;
6.362.984.717;3.56;4;7;3.351.768.552;7122;915 Brooks Orchard
Amandaville;" GU 37093-9400""";;;;;
6.707.605.239;4.73;17;17;4.040.651.492;1261;124 Kelly Brook
South Alanshire;" WY 65658-5841""";;;;;
6.190.904.144;6.22;9;11;2.895.392.538;1063;74706 Mary Parkway
Cummingsberg;" NM 24516""";;;;;
6.662.369.237;5.92;3;3;4.799.510.196;1302;USS Carr
"FPO AE 77602""";;;;;;
8.239.151.875;7.1;7;15;3.323.234.234;1957;23958 Lisa Extensions Apt. 372
Bryantton;" CO 76041-0639""";;;;;
6.291.732.124;5.46;6;8;3.684.530.501;8491;7706 Sara Wells
Williamsonberg;" MO 07089""";;;;;
6.121.474.081;7.09;11;15;3.225.439.867;1070;06539 Powers Cliff
Port Brendaland;" CO 15197""";;;;;
5.595.268.583;4.84;12;17;3.075.827.904;7141;5368 Mccann Walks Suite 432
South Jessica;" PA 51463-6950""";;;;;
9.399.339.978;6.14;4;4;3.706.248.444;1441;7732 Renee Club Apt. 931
Fordland;" FL 74775-2546""";;;;;
6.943.614.216;3.71;18;14;3.088.495.551;6936;787 Jennifer Keys Suite 630
Huntfurt;" RI 25704-8481""";;;;;
6.729.501.745;4.78;8;1;4.019.009.934;1060;4099 Jennifer Mission
Michaelport;" ND 68745""";;;;;
7.782.522.747;6.72;8;16;3.143.997.122;1535;481 Fisher Bridge
East Christina;" NV 36023-3431""";;;;;
5.443.245.745;6.88;13;19;4.155.757.633;1454;6290 Hutchinson Mountains Suite 409
South Alan;" NY 44686-8829""";;;;;
581.804.194;5.07;13;8;3.650.697.739;1062;2066 Patricia Unions
Jeanton;" OK 53946""";;;;;
8.890.433.828;6.84;5;9;4.180.760.136;1907;00780 Rollins Locks Suite 785
Shawfurt;" GU 97591-6490""";;;;;
794.425.058;6.3;8;12;4.114.489.353;9653;479 Kevin Wells
Deborahview;" ID 06062-1191""";;;;;
6.738.990.482;6.26;1;10;3.471.020.612;1109;1004 Williams Tunnel
Crystalfurt;" IL 10547-7173""";;;;;
6.438.108.001;5.78;6;2;4.471.247.624;1118;935 Don Turnpike
Pattersonberg;" AL 91146-7775""";;;;;
7.088.143.561;4.91;8;14;3.604.020.673;1049;50791 Kim Harbor Suite 017
Lake Tony;" NY 05606""";;;;;
8.285.959.165;8.09;11;12;600.405.473;2294;75982 Ramos Locks Apt. 667
Nicoleview;" SD 33738-0191""";;;;;
6.673.698.871;5.45;9;2;5.408.690.165;1356;USNS Hoffman
"FPO AA 74725""";;;;;;
6.627.445.554;7.17;6;11;30.082.069;9899;908 Anna View Apt. 406
Carolynberg;" VA 74707""";;;;;
64.621.638;7.24;16;2;4.428.808.724;1499;6947 Stevens Pass
Kennethfort;" KY 66327""";;;;;
6.728.532.054;5.66;10;2;3.795.629.441;1160;87390 Tanner Rest
East Stevenland;" TX 41310""";;;;;
6.991.680.939;6.25;12;10;4.168.641.285;1302;1075 Brian Ways Apt. 639
Lake Kristenburgh;" CA 39801""";;;;;
8.580.296.828;6.16;15;8;2.613.926.853;1553;056 Anthony Prairie Apt. 509
Patriciaberg;" IA 29424-9623""";;;;;
7.745.975.786;4.28;4;18;3.791.029.498;9452;58899 Bender Brooks
Kimberlyshire;" GU 39917-0152""";;;;;
6.961.239.772;6.04;16;15;2.648.931.324;1158;77466 Wu Heights Suite 176
Smithville;" MH 19392-6412""";;;;;
7.489.865.868;7.33;8;15;3.253.025.631;1261;48186 Pope Mews Apt. 453
Kellyside;" ID 42041""";;;;;
5.948.393.282;6.53;5;11;3.889.422.736;1257;4228 Sharon Field Apt. 583
North Jesus;" AS 37342-9751""";;;;;
6.852.754.131;5.65;17;15;3.497.745.191;1279;6618 Morales Forest
North Lindaville;" VI 99688""";;;;;
4.827.886.016;5.25;2;17;5.114.822.512;9438;USS Mcgee
"FPO AA 02679-5689""";;;;;;
7.433.353.507;6.63;2;8;414.402.007;1404;5686 Diana Ports
Nguyenborough;" NC 38005-1050""";;;;;
9.111.812.723;4.84;16;1;2.303.844.982;1296;6557 Sawyer Ranch Apt. 584
Martinezborough;" IN 50000""";;;;;
7.566.779.128;5.58;19;16;4.678.238.518;1450;94271 Andrea Path
South Matthewborough;" NJ 89881""";;;;;
8.175.491.408;5.75;11;19;4.297.561.819;1654;8173 Blackburn Haven
Strongton;" VA 38893""";;;;;
6.231.421.472;5.91;6;8;4.826.303.534;1030;PSC 7074, Box 4818
"APO AE 84281""";;;;;;
6.442.125.068;7.38;9;6;428.730.502;1204;0724 Brown Plains Apt. 690
Johnmouth;" VA 90102""";;;;;
6.863.171.253;5.15;4;7;3.963.582.874;1115;PSC 6229, Box 7831
"APO AA 50489-4427""";;;;;;
6.031.777.699;3.51;9;18;3.227.603.427;6068;472 Lopez Stream
Lake Sheila;" OK 00834-5775""";;;;;
5.838.797.658;6.71;14;11;2.831.826.432;9711;742 Aaron Lock
North Christophermouth;" NE 48483-1442""";;;;;
6.240.653.099;4.89;4;4;3.054.109.938;1029;16888 Turner Trail
Gentrytown;" MD 77676""";;;;;
8.102.544.828;5.88;8;16;2.585.103.903;1246;073 Gary Forest
Leahstad;" TX 29670-4461""";;;;;
7.595.157.317;6.07;12;2;3.523.080.254;1146;92857 Robin Forks
Port Mary;" LA 43895-7257""";;;;;
7.348.021.476;6.18;10;19;1.948.138.513;1075;481 Marquez Plaza Suite 172
North Jeffreyborough;" PA 66748""";;;;;
6.753.520.757;6.79;4;5;3.237.582.626;1074;PSC 3192, Box 9068
"APO AE 56262""";;;;;;
6.157.742.775;6.54;14;5;3.481.029.108;1115;900 Soto Extension
New Darrellview;" NM 85693-1736""";;;;;
7.338.847.496;5.2;7;20;4.164.810.864;1496;735 Miranda Harbor
Port Cathyside;" ME 34166-0132""";;;;;
57.730.322;5.1;13;20;4.245.130.628;1299;USCGC Watson
"FPO AP 69692""";;;;;;
6.810.112.429;7.41;11;19;2.982.766.647;1446;899 Pearson Ramp Apt. 209
Port Troyhaven;" FM 56837""";;;;;
6.351.346.697;6.23;8;10;4.681.913.057;1257;USNS Parker
"FPO AA 79651""";;;;;;
758.660.416;6.25;4;20;3.669.864.905;1549;480 Linda Mission
New Lisaside;" MI 92286-9433""";;;;;
5.869.659.298;6.09;13;19;2.143.406.366;8284;025 Vincent Station Suite 738
Carmenfurt;" VT 53906""";;;;;
7.641.554.528;6.16;6;20;5.271.991.594;1642;3134 Kimberly Way Suite 085
West Chase;" NC 60049-0645""";;;;;
7.109.064.685;4.97;6;8;2.603.046.371;8473;86862 Howell Meadow
South Ryanmouth;" DE 44340""";;;;;
6.747.051.038;4.75;14;10;3.220.051.534;9680;85776 John Ford Apt. 435
Kyleton;" AR 58566-5621""";;;;;
6.524.487.642;7.72;14;18;3.975.770.431;1495;82853 Wagner Pines Apt. 106
West Alicia;" MI 56685-2380""";;;;;
6.124.956.709;4.17;12;15;3.028.869.855;6787;9389 Mcdonald Road Suite 415
Jeffreyburgh;" GA 90771""";;;;;
7.750.247.402;6.5;5;9;3.907.564.028;1427;134 Lopez Garden
Lake Joseph;" OR 06588-8797""";;;;;
5.144.518.675;6.84;2;17;449.660.678;1093;PSC 6463, Box 8321
"APO AP 72947-9628""";;;;;;
7.395.699.148;6.88;4;15;4.677.580.866;1653;4390 Deborah Turnpike Apt. 434
Antoniomouth;" HI 12806-7266""";;;;;
7.022.136.202;5.19;12;13;3.969.210.555;1178;9863 William Falls Apt. 516
New Roberttown;" WA 07211-8762""";;;;;
5.835.457.408;5.51;20;12;3.576.574.921;7558;PSC 2237, Box 5511
"APO AA 41584-3622""";;;;;;
7.927.479.616;3.87;1;19;427.736.131;1210;955 Reed Lake
Wilsonchester;" MT 27473""";;;;;
5.819.528.921;5.91;14;18;3.178.997.274;9802;1257 Jennifer Rest
Martinburgh;" MT 41177""";;;;;
6.800.119.526;5.05;11;12;471.160.638;1122;Unit 9831 Box 7128
"DPO AA 54705""";;;;;;
8.017.492.459;5.65;1;8;4.523.332.883;1441;81230 Justin Turnpike
South Aaronborough;" WI 19349-9757""";;;;;
5.716.020.224;6.89;13;16;4.346.714.704;1251;15828 Marshall Stravenue Suite 199
East Matthewmouth;" TN 71861-6319""";;;;;
7.079.977.311;6.21;20;17;3.386.561.697;1257;4628 Robert Manor
North Larry;" ID 51296""";;;;;
9.500.078.637;5.37;13;17;4.420.265.614;1986;16355 Sullivan Turnpike
West Heather;" ID 49211""";;;;;
7.680.834.428;7.42;2;15;3.112.964.248;1550;8241 Mitchell Locks
East Wendy;" UT 08784-8239""";;;;;
6.316.719.471;5.84;5;20;3.431.749.878;1305;584 Baker Orchard
Whiteborough;" CT 87008-0402""";;;;;
6.836.634.149;4.32;9;8;4.252.259.413;9401;0252 Snyder Creek
Rogersshire;" ME 28830-8921""";;;;;
6.792.017.995;5.63;4;15;1.580.074.846;6909;12163 Kristen Lakes Apt. 445
Josephview;" MA 92779-6662""";;;;;
6.880.355.208;4.29;11;14;3.947.539.943;1153;194 Diaz Crest
Scottshire;" MA 86812-1861""";;;;;
621.267.471;7.15;10;7;2.080.369.329;1116;7831 Schultz Junctions Apt. 671
Masonland;" OH 12987""";;;;;
7.639.838.435;7.02;3;16;3.901.497.184;1534;76681 Mccoy Skyway
Petersonfort;" OR 83665""";;;;;
5.551.047.214;6.33;18;16;2.615.307.274;8934;8837 Louis Meadow Apt. 140
South Karenfurt;" AL 47724-7760""";;;;;
3.873.400.522;5.64;18;5;3.889.089.276;4011;4317 Heather Port
Hicksland;" SC 77008-9209""";;;;;
6.224.573.982;4.94;16;7;4.437.363.307;1290;356 Butler Knolls
Mcleanport;" PA 86805""";;;;;
8.893.319.851;6.21;19;11;5.297.631.041;1865;912 Torres Harbor Apt. 724
Greenbury;" WI 91276-0346""";;;;;
5.822.976.853;4.68;19;6;4.497.203.136;1251;19565 Figueroa Fords Suite 876
North Chasetown;" GU 62357""";;;;;
5.828.210.008;6.42;14;13;4.958.556.494;1133;8219 Morse Falls
Chapmanmouth;" RI 85731-2255""";;;;;
7.368.942.839;5.47;20;9;4.924.031.767;1688;0850 Lauren Estates
Samanthaburgh;" OK 64160-5541""";;;;;
616.677.208;5.59;11;1;6.518.457.847;1394;0563 Taylor Cove
Shelbystad;" UT 27501""";;;;;
7.846.290.642;5.35;11;11;1.722.790.721;9234;PSC 0651, Box 2521
"APO AP 28493""";;;;;;
5.085.709.653;5.51;20;16;4.079.018.479;1131;USS Brown
"FPO AA 43649-1893""";;;;;;
7.333.155.112;6.66;18;9;4.265.643.925;1475;711 Fernando Mews Apt. 275
Lynnshire;" NC 83294-4804""";;;;;
5.254.131.985;4.88;5;11;4.125.826.229;8429;40374 Larry Spur Apt. 429
North Amber;" DC 93748""";;;;;
7.792.298.616;5.93;3;17;3.656.183.342;1327;9889 John Extensions Apt. 232
West Jasonberg;" PA 30956""";;;;;
688.116.717;6.46;14;10;339.108.315;1220;Unit 7703 Box 0736
"DPO AA 91775-6852""";;;;;;
5.542.116.889;8.22;16;20;3.099.520.994;1403;3700 James Highway
Daniellebury;" WI 06049""";;;;;
687.766.667;6.1;7;5;3.798.670.179;1331;PSC 2952, Box 6680
"APO AE 73430""";;;;;;
5.569.150.138;4.58;2;8;440.192.121;1051;7654 Kayla Parkways
Gomezstad;" NH 48123""";;;;;
7.265.457.336;6.1;16;16;5.145.615.053;1813;USS Moore
"FPO AP 39142""";;;;;;
6.736.246.375;5.88;13;20;3.236.337.953;1041;388 Kelly Spur Suite 956
Salinasfort;" OR 53877-4267""";;;;;
9.086.399.999;6.31;11;7;4.183.747.517;1746;23499 Lara Meadow Apt. 882
Brownburgh;" NM 92521-4124""";;;;;
6.917.367.166;6.3;12;14;4.493.537.806;1412;596 Jonathan Terrace Apt. 972
Cartershire;" NC 82929-1041""";;;;;
8.559.238.221;5.58;20;5;2.567.037.861;1557;0504 Le Fields
New Amyshire;" KY 70651-2966""";;;;;
6.162.505.933;7.04;3;18;5.285.041.342;1797;66367 Sandra Oval
East Brendaville;" NC 08689""";;;;;
6.519.799.542;6.81;4;13;2.816.244.064;9232;86068 James Groves Apt. 998
Jonesborough;" NM 97927""";;;;;
7.600.929.703;4.75;14;16;268.884.087;8341;1580 Brandi Ford
North Karen;" PW 02982-7846""";;;;;
6.942.103.242;7.79;12;4;3.896.202.283;1603;039 Burns Trace Suite 618
Taylormouth;" SD 14667""";;;;;
7.934.843.747;5.96;9;4;5.051.928.996;1510;Unit 2349 Box 1392
"DPO AA 18318-6109""";;;;;;
8.123.917.438;5.88;19;8;2.738.486.537;1496;41013 Christopher Village
South Davidfurt;" MP 49129-9503""";;;;;
7.134.846.738;5.62;2;4;4.526.303.507;1447;PSC 2341, Box 5265
"APO AE 46820""";;;;;;
7.602.476.684;6.7;9;8;1.661.926.852;1361;63357 Drake Heights
Aaronberg;" HI 66008-8580""";;;;;
6.242.196.888;6.16;16;19;5.037.006.338;1409;97231 Rice Motorway Apt. 065
North Brenda;" VI 95161""";;;;;
8.519.274.241;6.5;13;3;2.285.006.268;1534;6386 Palmer Underpass Suite 102
Port Jackborough;" TX 42754-8619""";;;;;
7.611.336.653;5.62;9;19;4.690.373.743;1484;6611 Baker Place
Alexmouth;" LA 22246""";;;;;
7.576.770.342;5.63;13;10;2.744.458.556;1379;0627 Jonathan Spurs Apt. 121
Harveystad;" VI 29375-3726""";;;;;
7.807.007.374;4.44;20;11;6.002.336.096;1884;645 Bennett Club
Port Charles;" CA 38269""";;;;;
7.096.506.765;4.99;13;6;1.548.245.243;8563;69799 Acevedo Mountain Suite 337
Edwardport;" FM 81015-7307""";;;;;
8.301.643.145;6.81;5;1;3.414.016.752;1689;04706 Perkins Stravenue
South Thomasbury;" NM 73947-3435""";;;;;
7.110.529.156;5.95;15;9;4.845.702.136;1640;595 Alyssa Ranch
Rachelport;" FM 60462-6623""";;;;;
4.281.499.304;5.24;14;7;4.142.638.977;4525;8901 Thomas Walk Suite 251
East Stephanieburgh;" MN 68081""";;;;;
6.807.143.317;4.86;2;20;3.552.587.604;9801;4137 Sanchez Branch
Knightfort;" TN 47663-5001""";;;;;
7.299.236.051;4.87;16;15;3.512.338.281;1449;956 Chavez Canyon
East Sandra;" MA 67391-6972""";;;;;
6.091.271.626;4.81;15;12;411.003.297;8147;718 Steve Junctions
Lake Jenniferfurt;" PW 52439""";;;;;
7.067.058.384;7.59;16;19;4.002.234.343;1735;4708 Jonathan Trail Apt. 793
West Marcus;" FM 14768-4079""";;;;;
5.230.833.552;6.85;7;14;3.570.399.249;9649;997 Brittany Islands
South Jon;" PW 69252-2681""";;;;;
6.821.063.013;6.55;13;7;5.259.135.747;1490;3230 Lisa Oval
Port Andrew;" VT 16432-9135""";;;;;
6.938.001.131;5.71;20;9;2.811.560.316;1086;68217 Timothy Burg
Steveton;" AZ 92285""";;;;;
8.036.637.481;6.61;14;14;4.277.598.296;1759;Unit 4778 Box 1424
"DPO AP 88852""";;;;;;
7.477.521.983;5.75;18;3;3.690.330.849;1315;48865 Reynolds Fork Suite 552
Port Jason;" MO 71699-7477""";;;;;
6.521.024.231;6.4;12;5;3.928.615.766;1137;436 Richardson Crest Apt. 137
Millermouth;" IN 67939-9639""";;;;;
7.733.603.095;6.2;16;7;302.226.912;1446;95648 Fleming Plains Suite 220
Patriciaview;" GA 57597""";;;;;
7.266.175.013;6.47;14;5;4.704.849.001;1602;60113 Meredith Roads
Joeburgh;" WY 76237-8977""";;;;;
7.865.637.837;5.4;19;12;301.576.295;1440;764 Dawn Skyway
East Robinchester;" WV 77718""";;;;;
6.382.439.454;4.99;12;5;4.008.645.875;8001;30812 Castillo Flat
East Danielland;" HI 03252-6464""";;;;;
7.462.574.474;5.15;10;2;3.554.865.189;1491;490 Michael Junctions Suite 275
North Emily;" WI 26740""";;;;;
6.074.923.427;6.46;6;1;3.289.115.941;9693;USCGC Robertson
"FPO AP 21275""";;;;;;
6.878.090.722;5.15;2;12;365.919.573;1055;01954 Moss Forge Suite 859
Josephburgh;" IA 25596""";;;;;
6.892.368.486;6.64;8;10;4.090.355.891;1299;USS Shelton
"FPO AA 07065""";;;;;;
7.019.079.644;6.74;6;4;2.921.513.611;1340;USNS Brandt
"FPO AE 72594""";;;;;;
866.908.733;6.25;19;1;4.258.962.439;1723;7459 Jasmine Brook Suite 688
Hallmouth;" ME 52705-6457""";;;;;
6.893.521.956;5.53;17;17;3.790.834.665;1214;863 Molly Cape
West Brandon;" PW 07487-9904""";;;;;
5.685.199.571;5.44;2;14;2.391.556.442;3936;8554 Shannon Port Suite 807
West Cory;" PR 35359-9079""";;;;;
5.158.627.412;7.61;18;5;554.494.071;1472;3610 Spears Dam Suite 970
Phillipsberg;" OK 85163""";;;;;
5.827.658.119;4.36;13;14;3.145.704.285;5025;63387 Hunter Unions Suite 904
West Lisatown;" HI 54243-3440""";;;;;
8.271.391.148;6.44;17;16;2.993.639.719;1296;90307 Mercer Loaf
Jessicaport;" MH 44061""";;;;;
7.345.109.094;5.96;15;8;4.925.180.803;1342;117 Vargas Burgs
Alexanderport;" TN 32519-8521""";;;;;
6.966.717.921;7.25;14;8;53.056.062;1698;71045 Wilkinson Walks Apt. 656
Port Lisachester;" OK 32903""";;;;;
5.937.518.699;4.61;9;11;207.948.215;5555;4323 Leonard Stravenue
Gardnerburgh;" MP 91589-9726""";;;;;
6.603.673.711;5.8;20;15;4.557.730.243;1298;336 Sawyer Pines Suite 106
North Erin;" AR 00934-8650""";;;;;
6.588.513.576;7.65;2;17;3.410.091.677;1440;8365 Larry Forge Apt. 554
Port Matthew;" NE 74887""";;;;;
7.741.722.284;5.66;17;8;2.652.729.795;1145;286 Michael Knoll
Port Michael;" OH 62328-6328""";;;;;
7.827.640.182;6.81;20;20;2.948.335.861;1546;450 Page Crest
South Heidi;" DE 92809""";;;;;
6.716.085.009;6.44;19;4;3.380.532.623;1070;987 Carl Ports Apt. 028
Chandlerview;" TX 89287-8685""";;;;;
8.183.586.399;7.74;15;19;5.103.938.782;1993;46894 Michelle Fork
Port Colleen;" PW 76332-1744""";;;;;
6.142.600.134;4.14;14;7;4.570.133.285;8919;2291 Jones Station Apt. 757
New Rebeccatown;" AS 24105-2384""";;;;;
8.088.966.854;6.61;16;17;1.251.368.173;1443;98428 Monica Shoal
South Jenna;" TX 35776""";;;;;
9.145.832.735;4.13;1;8;3.425.272.864;1305;Unit 2532 Box 5871
"DPO AE 51767-2366""";;;;;;
5.911.958.632;5.46;17;13;4.553.912.185;1238;049 Derek Knoll Apt. 118
Marytown;" NC 61057""";;;;;
7.741.392.751;6.2;1;4;287.951.202;1241;0271 Charles Vista
Sarahshire;" MI 37710-8022""";;;;;
6.042.175.409;5.63;20;17;3.275.483.084;8490;330 Alexander Square
North Allison;" NV 01942-2914""";;;;;
7.935.405.044;6.98;6;10;3.909.218.544;1656;0498 Alexander Overpass
Joshuaville;" MT 11328-4143""";;;;;
631.511.634;8.38;12;5;4.226.629.337;1896;4586 David Island
Sandersburgh;" TX 07931-0591""";;;;;
6.880.502.073;6.09;10;7;4.074.409.197;1300;416 Cesar Points Suite 572
Smithmouth;" AK 47239-2228""";;;;;
7.803.288.185;3.78;2;8;3.533.463.367;1159;60085 Susan Estates
West Scott;" ND 84226-4430""";;;;;
7.607.178.643;7.16;14;14;155.863.573;1263;31864 Weber Cove Suite 484
Kathleenstad;" NH 70281-4202""";;;;;
6.333.456.621;6.9;8;18;3.563.853.817;1292;043 Levy Plain Apt. 586
North Clayton;" SD 31784-8280""";;;;;
636.508.574;5.65;6;3;4.645.701.873;1357;3510 Glenda View Apt. 004
North Christophermouth;" FL 30385""";;;;;
6.618.191.715;4.82;18;18;2.533.701.157;9455;4294 Daniel Neck
Martinborough;" NC 04514-2585""";;;;;
7.171.719.137;6.14;5;13;5.197.484.018;1572;51468 Steven Trail Suite 566
Meyerport;" KS 32334-6586""";;;;;
7.441.953.564;7.81;2;13;4.859.139.346;2019;80827 Horn Trafficway
Bennettchester;" MP 35450-9947""";;;;;
5.928.968.479;6.58;7;13;2.949.694.558;8314;85911 West Well
Burtonstad;" IA 99972-6931""";;;;;
7.219.737.838;7.06;4;4;3.459.897.968;1408;4783 Jennifer Meadows Suite 186
North Stephen;" GU 36942-4885""";;;;;
694.239.286;5.83;1;4;3.640.913.231;1154;6528 White Square
Morganchester;" SD 63083""";;;;;
6.423.168.422;4.31;18;12;5.971.766.977;1521;62063 Jenna Ridges
Smithland;" WI 17529""";;;;;
6.600.531.092;4.98;16;5;4.328.393.363;1522;22665 Jessica Throughway Apt. 390
North Jameshaven;" DE 64126-7821""";;;;;
8.294.388.907;6.02;7;6;5.052.473.674;1528;288 Connie Inlet Apt. 174
North Lindsey;" DC 20956""";;;;;
7.173.597.897;5.9;4;1;3.824.458.139;1289;901 Pierce Club
West Brian;" SD 21090""";;;;;
5.731.995.266;6.73;8;12;4.473.839.585;1222;22200 Hughes Village
Richardsport;" VT 50473-9001""";;;;;
7.236.320.417;4.5;9;9;42543.54;7921;6294 Jackson Plaza Apt. 411
Franklinchester;" MT 96407""";;;;;
8.767.816.324;5.05;11;9;4.380.552.189;1753;7414 Beard Manor Suite 260
